Drug1_ID,Drug2_ID,Y,Neg samples
DB01413,DB01215,0,DB00421
DB00555,DB00208,0,DB01097
DB00916,DB00315,0,DB00268
DB00642,DB00422,0,DB00627
DB00540,DB00987,0,DB01020
DB01241,DB00857,0,DB00356
DB00248,DB00991,0,DB00451
DB00605,DB00987,0,DB00601
DB00530,DB01026,0,DB01128
DB01181,DB00503,0,DB00879
DB00598,DB00277,0,DB01104
DB00204,DB01048,0,DB00968
DB01095,DB00897,0,DB01095
DB00763,DB01041,0,DB01053
DB01097,DB00496,0,DB00264
DB00749,DB00987,0,DB00475
DB00321,DB00683,0,DB00611
DB01217,DB00494,0,DB00625
DB00818,DB00477,0,DB00454
DB01118,DB00535,0,DB01105
DB01204,DB00277,0,DB01019
DB00373,DB00501,0,DB00794
DB01033,DB00590,0,DB00833
DB00654,DB00377,0,DB00343
DB01026,DB00496,0,DB00395
DB00996,DB01186,0,DB01005
DB01009,DB01067,0,DB00864
DB01173,DB00188,0,DB00916
DB00860,DB00747,0,DB01189
DB00222,DB00874,0,DB00295
DB00745,DB00477,0,DB00489
DB00373,DB00625,0,DB00700
DB01233,DB01150,0,DB00950
DB00361,DB00191,0,DB00213
DB00819,DB01136,0,DB01327
DB01232,DB00650,0,DB00799
DB01077,DB00749,0,DB00590
DB00422,DB00484,0,DB01142
DB01181,DB00199,0,DB00496
DB00842,DB01006,0,DB01275
DB00346,DB00216,0,DB01014
DB00656,DB00684,0,DB00570
DB00709,DB01291,0,DB00704
DB00361,DB00625,0,DB00918
DB01236,DB01273,0,DB00242
DB00115,DB04441,0,DB00632
DB00770,DB00319,0,DB00497
DB00270,DB01217,0,DB01043
DB00968,DB00843,0,DB00413
DB00798,DB00214,0,DB00356
DB00996,DB01260,0,DB00808
DB01036,DB00819,0,DB00450
DB00757,DB00857,0,DB00811
DB00535,DB01041,0,DB00374
DB00853,DB00673,0,DB00787
DB00697,DB00851,0,DB01060
DB00441,DB00557,0,DB00601
DB00363,DB01079,0,DB01019
DB00710,DB00176,0,DB00537
DB00605,DB01072,0,DB00280
DB00833,DB01232,0,DB01595
DB00458,DB00900,0,DB00564
DB01083,DB00749,0,DB01416
DB00350,DB00270,0,DB00924
DB00900,DB01079,0,DB01190
DB00281,DB01005,0,DB00367
DB00542,DB00975,0,DB00523
DB00333,DB00184,0,DB01068
DB00477,DB00216,0,DB00959
DB00906,DB00421,0,DB01210
DB01004,DB00658,0,DB00195
DB00472,DB00270,0,DB00790
DB00454,DB00480,0,DB00332
DB00921,DB00684,0,DB00991
DB00577,DB00698,0,DB00281
DB00480,DB00216,0,DB00211
DB00413,DB00605,0,DB00968
DB00426,DB00315,0,DB01006
DB00973,DB01254,0,DB01223
DB01059,DB00603,0,DB00718
DB00710,DB00284,0,DB00564
DB00115,DB01264,0,DB00261
DB01118,DB00938,0,DB00564
DB01327,DB00763,0,DB01026
DB01033,DB00900,0,DB00582
DB01036,DB06151,0,DB01072
DB01140,DB01238,0,DB01023
DB00795,DB01609,0,DB00734
DB00439,DB01104,0,DB01114
DB01009,DB00649,0,DB01118
DB00953,DB00820,0,DB01224
DB01149,DB01020,0,DB00698
DB00770,DB01085,0,DB01219
DB00502,DB00396,0,DB01079
DB00953,DB00178,0,DB01060
DB00214,DB01150,0,DB01079
DB00270,DB00783,0,DB01210
DB00363,DB00804,0,DB00633
DB00851,DB00461,0,DB00909
DB00864,DB00656,0,DB00194
DB00819,DB00783,0,DB00695
DB00836,DB00461,0,DB00224
DB00426,DB01085,0,DB00603
DB00582,DB01149,0,DB00973
DB00153,DB00887,0,DB00257
DB01236,DB00227,0,DB01079
DB00749,DB00523,0,DB01189
DB00196,DB01260,0,DB00950
DB01232,DB00641,0,DB00861
DB01097,DB00904,0,DB00333
