Drug1_ID,Drug2_ID,Y,Neg samples
DB01219,DB01238,1,DB00953
DB00363,DB01060,1,DB01331
DB00881,DB01367,0,DB01047
DB00153,DB00231,1,DB00485
DB01221,DB01142,0,DB00608
DB01233,DB00973,1,DB00218
DB01204,DB00701,0,DB00440
DB00658,DB00669,0,DB01069
DB01193,DB00438,0,DB01223
DB00654,DB00715,1,DB00479
DB01042,DB00773,1,DB01151
DB00996,DB00399,1,DB00529
DB00945,DB01143,1,DB01589
DB00829,DB01085,1,DB00262
DB00231,DB00381,1,DB05271
DB01118,DB00162,1,DB00231
DB00186,DB00656,1,DB01156
DB00244,DB00605,1,DB01083
DB00558,DB00745,0,DB01205
DB00698,DB01043,1,DB00990
DB00864,DB01331,1,DB00671
DB01172,DB00564,0,DB01212
DB00555,DB01132,1,DB00194
DB01623,DB01181,0,DB01006
DB00700,DB01242,0,DB01118
DB00519,DB00661,1,DB00284
DB01410,DB00177,1,DB00700
DB00482,DB01577,0,DB00912
DB00853,DB00501,0,DB00211
DB00970,DB02379,0,DB00668
DB01221,DB00433,0,DB00605
DB00186,DB00136,1,DB00461
DB01240,DB00201,0,DB00630
DB00558,DB00883,0,DB00328
DB00399,DB00404,1,DB00415
DB00924,DB00881,1,DB00320
DB00784,DB01029,0,DB00188
DB00700,DB00802,0,DB01610
DB00497,DB00678,1,DB00252
DB01217,DB01181,0,DB00419
DB00512,DB00489,1,DB00320
DB00897,DB01016,1,DB00205
DB00222,DB00829,1,DB00200
DB00625,DB00323,0,DB01124
DB00207,DB00796,1,DB00726
DB00608,DB00404,0,DB00277
DB00757,DB00632,0,DB01083
DB00280,DB00603,0,DB00714
DB00248,DB00158,1,DB00567
DB01197,DB01223,1,DB01337
DB01204,DB01406,0,DB00461
DB00999,DB00734,1,DB01577
DB00674,DB00906,0,DB01085
DB01044,DB00331,1,DB00373
DB01026,DB00690,0,DB00763
DB01079,DB00749,1,DB00770
DB00250,DB00700,0,DB00398
DB01030,DB02379,0,DB00475
DB01611,DB00794,1,DB01263
DB00654,DB01020,1,DB00519
DB00275,DB01118,1,DB00859
DB00570,DB00482,1,DB01595
DB00798,DB01039,1,DB00353
DB01212,DB00715,1,DB01223
DB00542,DB01367,0,DB00967
DB00874,DB00843,1,DB00601
DB00472,DB00158,1,DB01072
DB01263,DB00199,0,DB00479
DB00484,DB01067,1,DB00544
DB00441,DB00918,0,DB00950
DB00559,DB00280,0,DB00966
DB00363,DB00351,1,DB00295
DB00575,DB00737,1,DB00960
DB00480,DB00717,0,DB00652
DB00861,DB00315,0,DB00330
DB00321,DB00481,1,DB00279
DB00806,DB00482,1,DB00215
DB00533,DB00377,0,DB00661
DB00635,DB00316,1,DB00934
DB00242,DB00549,0,DB00460
DB01118,DB00421,1,DB01182
DB00773,DB01095,0,DB01167
DB00927,DB00480,1,DB01053
DB00635,DB00727,1,DB00558
DB01173,DB01072,0,DB01137
DB00244,DB01022,0,DB00678
DB00844,DB00390,1,DB01150
DB01020,DB01006,1,DB00374
DB00194,DB00310,0,DB00989
DB00715,DB01219,1,DB00740
DB00497,DB00722,1,DB00277
DB00335,DB00184,1,DB00529
DB00321,DB00285,1,DB00460
DB00567,DB00881,1,DB01172
DB00448,DB01101,1,DB00433
DB01260,DB01331,0,DB01337
DB00426,DB00683,0,DB00712
DB00321,DB01053,0,DB00859
DB00945,DB01216,1,DB01331
DB00335,DB00177,1,DB00296
DB00214,DB00877,1,DB00333
DB00602,DB00927,1,DB04441
DB01224,DB01047,0,DB00794
DB00996,DB00853,1,DB01059
DB01137,DB00889,1,DB00619
DB00542,DB00575,1,DB00136
DB00361,DB00724,0,DB00399
DB00966,DB00404,1,DB01059
DB01155,DB00622,0,DB00410
DB00196,DB01406,1,DB01260
DB00455,DB01232,1,DB00909
DB00346,DB00186,1,DB01101
DB00563,DB00878,0,DB00564
DB00633,DB00395,0,DB01067
DB00296,DB01041,0,DB00321
DB00601,DB00557,1,DB01048
DB01059,DB00897,0,DB00631
DB01036,DB00481,1,DB00757
DB00990,DB00734,0,DB00642
DB01114,DB00402,0,DB05271
DB00338,DB00741,1,DB00307
DB00401,DB00656,0,DB00602
DB00341,DB00457,0,DB00650
DB00398,DB01030,0,DB06700
DB00557,DB01117,1,DB01265
DB00472,DB00967,1,DB01254
DB00860,DB00191,0,DB00969
DB00222,DB02379,0,DB00938
DB00853,DB00773,1,DB00874
DB01410,DB00401,0,DB00947
DB00802,DB00773,0,DB00396
DB00999,DB00649,1,DB00426
DB00842,DB00315,1,DB00419
DB00700,DB00203,1,DB01212
DB00952,DB01069,1,DB01367
DB00305,DB01104,0,DB00410
DB00204,DB00468,0,DB00714
DB01101,DB01577,0,DB00904
DB00210,DB00973,1,DB00393
DB01079,DB00684,0,DB00678
DB00861,DB00623,0,DB00996
DB00408,DB00959,0,DB00481
DB00201,DB01249,0,DB01124
DB00590,DB00227,1,DB00582
DB00153,DB00537,1,DB00752
DB01229,DB00503,1,DB00238
DB00990,DB01132,1,DB01151
DB00252,DB00419,0,DB00501
DB00620,DB01008,0,DB01026
DB00861,DB00973,0,DB00734
DB00285,DB00310,1,DB01039
DB00808,DB01069,1,DB01188
