Drug1_ID,Drug2_ID,Y,Neg samples
DB00862,DB00966,1,DB01047
DB01235,DB01275,1,DB01070
DB01609,DB06212,1,DB00935
DB01232,DB09291,1,DB01611
DB00104,DB00908,1,DB01327
DB01222,DB09063,1,DB09125
DB00898,DB01589,1,DB06825
DB00762,DB09054,1,DB00732
DB00186,DB09071,1,DB01185
DB00396,DB00682,1,DB01240
DB00368,DB01551,1,DB00981
DB01320,DB09061,1,DB00352
DB00186,DB00572,1,DB09209
DB00921,DB09272,1,DB00173
DB01100,DB06201,1,DB00356
DB01095,DB01393,1,DB09038
DB00211,DB00316,1,DB00378
DB00177,DB09401,1,DB00376
DB01211,DB01215,1,DB09220
DB00603,DB01418,1,DB06789
DB01268,DB01394,1,DB01563
DB00834,DB09039,1,DB08931
DB00104,DB08881,1,DB00988
DB00625,DB00956,1,DB00368
DB00624,DB00834,1,DB00254
DB00390,DB00986,1,DB00979
DB01207,DB06228,1,DB00599
DB00618,DB09146,1,DB06282
DB00252,DB01182,1,DB01275
DB01166,DB06636,1,DB01099
DB09118,DB09128,1,DB01035
DB08873,DB08881,1,DB06211
DB00397,DB00983,1,DB08877
DB00126,DB00717,1,DB00880
DB00243,DB08889,1,DB01036
DB00991,DB01254,1,DB01023
DB00238,DB01319,1,DB00357
DB00328,DB04272,1,DB05271
DB01207,DB08976,1,DB00999
DB01036,DB06290,1,DB00400
DB01233,DB01238,1,DB06262
DB01184,DB09065,1,DB00198
DB00204,DB00887,1,DB04574
DB04855,DB09053,1,DB01607
DB00337,DB01181,1,DB01416
DB00816,DB00871,1,DB00759
DB00542,DB09282,1,DB00341
DB00959,DB08873,1,DB00654
DB01224,DB04876,1,DB04910
DB06480,DB09123,1,DB00618
DB00193,DB05521,1,DB04865
DB01100,DB01319,1,DB00555
DB00623,DB09076,1,DB00581
DB00864,DB01320,1,DB00881
DB04938,DB09063,1,DB01129
DB00864,DB00991,1,DB01021
DB00960,DB01119,1,DB00678
DB00798,DB01163,1,DB00442
DB00273,DB06282,1,DB00300
DB00284,DB01208,1,DB00605
DB00784,DB00790,1,DB00754
DB00673,DB08912,1,DB05245
DB00310,DB00391,1,DB00842
DB01023,DB01235,1,DB00665
DB00898,DB01100,1,DB01002
DB00334,DB01553,1,DB00652
DB00571,DB08881,1,DB01165
DB00252,DB00903,1,DB09042
DB00188,DB09118,1,DB01614
DB00959,DB09220,1,DB00998
DB00796,DB01119,1,DB08906
DB01418,DB08816,1,DB00442
DB00820,DB00999,1,DB00583
DB00687,DB06335,1,DB00210
DB00196,DB00338,1,DB00242
DB00794,DB00921,1,DB00198
DB04946,DB09072,1,DB00531
DB06287,DB09054,1,DB00235
DB00880,DB01016,1,DB09074
DB00688,DB08795,1,DB01399
DB00479,DB00535,1,DB00350
DB06772,DB09063,1,DB00524
DB00682,DB06695,1,DB09027
DB00343,DB00794,1,DB06213
DB00390,DB00500,1,DB09236
DB00864,DB08916,1,DB09074
DB00450,DB09271,1,DB00266
DB00409,DB06684,1,DB00686
DB00327,DB01247,1,DB04953
DB00280,DB06717,1,DB00766
DB00374,DB00700,1,DB01206
DB00136,DB06290,1,DB01551
DB01062,DB01072,1,DB09262
DB00452,DB01150,1,DB00767
DB00384,DB00652,1,DB00296
DB00790,DB00814,1,DB08992
DB00311,DB00497,1,DB00243
DB00220,DB01320,1,DB01097
DB00741,DB04876,1,DB02300
DB01229,DB08895,1,DB00532
DB00209,DB04924,1,DB01221
DB00410,DB09268,1,DB01126
DB01009,DB09026,1,DB00301
DB00188,DB00736,1,DB01098
DB01600,DB01609,1,DB01138
DB00714,DB00834,1,DB00704
DB00363,DB01238,1,DB00754
DB00682,DB04855,1,DB04946
DB01120,DB01601,1,DB01194
DB01201,DB06684,1,DB01033
DB01211,DB06287,1,DB00460
DB00820,DB00932,1,DB00839
DB00368,DB01274,1,DB00374
DB00503,DB00938,1,DB01708
DB00554,DB03619,1,DB00205
DB00181,DB09118,1,DB00535
DB01041,DB06282,1,DB00955
DB00177,DB00876,1,DB01380
DB00486,DB00593,1,DB00399
DB00300,DB00573,1,DB00115
DB00220,DB06218,1,DB00266
DB09272,DB09300,1,DB00584
DB00573,DB00974,1,DB00364
DB00559,DB09071,1,DB04831
DB00524,DB00776,1,DB01140
DB00736,DB04868,1,DB00465
DB01247,DB09272,1,DB00876
DB00909,DB02703,1,DB04924
DB00997,DB09118,1,DB01147
DB00557,DB00956,1,DB00531
DB01033,DB01656,1,DB00285
DB00035,DB00741,1,DB09039
DB00311,DB00611,1,DB06211
DB00872,DB01072,1,DB00459
DB01254,DB08912,1,DB00724
DB01609,DB04938,1,DB00744
DB00231,DB00333,1,DB11110
DB00252,DB01264,1,DB01253
DB00541,DB00564,1,DB00769
DB00499,DB09277,1,DB06795
DB00220,DB00361,1,DB09183
DB00277,DB01178,1,DB00227
DB00252,DB09071,1,DB01064
DB01172,DB01604,1,DB00136
DB00541,DB09118,1,DB01330
DB00285,DB04842,1,DB00451
DB00946,DB06441,1,DB00609
DB01590,DB09102,1,DB01065
DB01126,DB01264,1,DB01182
DB00635,DB00956,1,DB11181
DB00398,DB09065,1,DB03619
DB00867,DB00945,1,DB00662
DB00796,DB00806,1,DB09277
DB00399,DB00798,1,DB00442
DB00177,DB00862,1,DB06410
DB00916,DB01418,1,DB00560
DB00181,DB00611,1,DB00798
DB00328,DB00452,1,DB00481
DB00794,DB01203,1,DB08910
DB00224,DB00897,1,DB00765
DB00549,DB09063,1,DB01255
DB00295,DB01203,1,DB00832
DB00252,DB00564,1,DB04861
DB00946,DB01600,1,DB00864
DB00497,DB09042,1,DB00440
DB00864,DB01016,1,DB01224
DB00186,DB00268,1,DB00668
DB01129,DB06695,1,DB00456
