Drug1_ID,Drug2_ID,Y,Neg samples
DB00988,DB01156,1,DB01708
DB00204,DB01254,1,DB01073
DB06700,DB00796,0,DB00671
DB00767,DB01168,1,DB06402
DB00196,DB00980,1,DB00240
DB00794,DB01320,1,DB00520
DB00441,DB00550,0,DB00897
DB04908,DB06290,1,DB08911
DB00280,DB01320,1,DB00957
DB00187,DB01001,1,DB00351
DB00035,DB00295,1,DB00291
DB00959,DB05039,1,DB06590
DB00932,DB01098,1,DB01380
DB00248,DB04842,1,DB01082
DB09053,DB09063,1,DB06402
DB00450,DB00842,1,DB00294
DB00322,DB00682,1,DB06730
DB00415,DB00374,0,DB00266
DB00501,DB00997,1,DB01399
DB00912,DB00374,0,DB01394
DB00584,DB01589,0,DB00627
DB00503,DB01624,1,DB00783
DB00728,DB00884,1,DB00492
DB00492,DB00367,0,DB01207
DB00876,DB01143,1,DB01182
DB00248,DB01214,1,DB00380
DB00839,DB08907,1,DB04861
DB00652,DB00399,0,DB09074
DB00686,DB00775,1,DB00227
DB01609,DB09401,1,DB00714
DB00266,DB00671,1,DB00557
DB00337,DB00582,1,DB00983
DB01140,DB00356,0,DB06412
DB00390,DB00763,1,DB01016
DB00682,DB00861,1,DB00819
DB01202,DB00475,0,DB00014
DB00741,DB00339,0,DB05271
DB00673,DB00906,1,DB06292
DB00951,DB01234,1,DB00710
DB00612,DB09073,1,DB00450
DB00361,DB01211,1,DB00261
DB06626,DB09073,1,DB02300
DB01100,DB09076,1,DB01132
DB00341,DB00211,0,DB06402
DB00996,DB00917,0,DB00353
DB00898,DB01018,1,DB00491
DB00635,DB01016,1,DB00746
DB01128,DB00261,0,DB09143
DB01030,DB00790,0,DB01060
DB01017,DB01621,1,DB00851
DB01042,DB00960,0,DB00760
DB00796,DB00294,0,DB00267
DB00211,DB00402,0,DB00232
DB00136,DB09073,1,DB11248
DB06335,DB08911,1,DB00593
DB01201,DB08903,1,DB04272
DB00424,DB00969,0,DB00080
DB01263,DB08864,1,DB00260
DB00687,DB01155,1,DB00640
DB00374,DB06684,1,DB08874
